PRODUCTION NO  : PRJ8028_QFN48_TEST,,,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,,,
PACKAGE : 48QFN 12 12 12 12,,,,,,,,,,,,
VERSION : V1.0_20240418,,,,,,,,,,,,
DIE_SIZE : 2414x1415,,,,,,,,,,,,
,,,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO,,
(D1.35),,84,VDD33_IOT%IO%U_AIP_TOP/U_VDD33_IOT0,-,-,T,P,-,-,-,,
37,GPIO5,85,GPIO5,-,T,T,-,-,-,-,,
38,VDD33_IOT,86,VDD33_IOT%IO%U_AIP_TOP/U_VDD33_IOT0,-,T,T,P,-,-,-,,
0,,87,GND%C%U_AIP_TOP/U_GND_APR4,-,-,T,G,-,-,-,,
0,,87,GND%C%U_AIP_TOP/U_GND_APR4,-,-,T,G,-,-,-,,
0,,88,GPIO6,-,-,T,-,-,-,-,,
0,,89,GPIO7,-,-,T,-,-,-,-,,
39,GPIO8,90,GPIO8,-,T,T,-,-,-,-,,
40,GPIO9,91,GPIO9,-,T,T,-,-,-,-,,
41,GPIO10,92,GPIO10,-,T,T,-,-,-,-,,
0,,93,VDD11%C%U_AIP_TOP/U_VDD11_APR3,-,-,T,P,-,-,-,,
(D1.33),,94,VDD11%C%U_AIP_TOP/U_VDD11_APR3,-,-,T,P,-,-,-,,
(D1.33),,94,VDD11%C%U_AIP_TOP/U_VDD11_APR3,-,-,T,P,-,-,-,,
D1.1,,94,VDD11%C%U_AIP_TOP/U_VDD11_APR3,-,-,T,P,-,-,-,,
42,GPIO11,95,GPIO11,-,T,T,-,-,-,-,,
0,,96,GND%C%U_AIP_TOP/U_GND_APR6,-,-,T,G,-,-,-,,
0,,96,GND%C%U_AIP_TOP/U_GND_APR6,-,-,T,G,-,-,-,,
43,GPIO12,97,GPIO12,-,T,T,-,-,-,-,,
44,GPIO13,98,GPIO13,-,T,T,-,-,-,-,,
